,year,month,day,min_temp,max_temp,prcp,sndp
0,2016,4,3,35.1,61.0,0.24,999.9
1,2016,3,21,33.1,50.0,0.14,999.9
2,2016,8,5,70.0,86.0,0.0,999.9
3,2016,10,31,46.9,60.1,0.76,999.9
4,2016,3,25,44.1,73.0,0.0,999.9
5,2016,8,7,73.9,91.0,0.0,999.9
6,2016,6,11,59.0,90.0,0.0,999.9
7,2016,12,30,34.0,48.0,0.48,999.9
8,2016,8,19,75.0,89.1,0.0,999.9
9,2016,1,28,28.9,48.0,0.0,3.9
10,2016,2,6,32.0,44.1,0.05,1.2
11,2016,5,5,46.9,57.9,0.02,999.9
12,2016,3,18,45.0,64.0,0.04,999.9
13,2016,1,22,21.9,37.9,0.0,999.9
14,2016,2,9,27.0,41.0,0.06,999.9
15,2016,1,11,30.9,59.0,0.79,999.9
16,2016,6,3,62.1,73.9,0.0,999.9
17,2016,8,2,71.1,80.1,0.0,999.9
18,2016,12,16,19.0,36.0,0.0,999.9
19,2016,12,18,26.1,61.0,0.56,1.2
20,2016,7,24,75.9,99.0,0.0,999.9
21,2016,8,29,73.9,91.0,0.0,999.9
22,2016,4,7,32.0,60.1,0.0,999.9
23,2016,11,1,44.1,61.0,0.0,999.9
24,2016,3,5,30.0,42.1,0.04,1.2
25,2016,9,22,70.0,86.0,0.0,999.9
26,2016,7,18,77.0,97.0,0.0,999.9
27,2016,9,9,73.0,93.0,0.0,999.9
28,2016,6,19,63.0,86.0,0.0,999.9
29,2016,11,23,37.0,46.0,0.0,999.9
30,2016,10,1,57.2,64.0,0.39,999.9
31,2016,5,22,54.0,71.1,0.18,999.9
32,2016,3,2,36.0,55.9,0.17,999.9
33,2016,9,25,57.9,72.0,0.2,999.9
34,2016,9,20,71.1,84.0,0.47,999.9
35,2016,8,16,78.1,93.0,0.0,999.9
36,2016,4,24,48.0,69.1,0.0,999.9
37,2016,5,13,55.9,78.1,0.0,999.9
38,2016,9,15,63.0,91.9,0.37,999.9
39,2016,2,16,30.9,57.2,0.49,1.2
40,2016,5,6,46.9,57.9,0.38,999.9
41,2016,3,23,50.0,71.1,0.0,999.9
42,2016,8,6,72.0,91.0,0.0,999.9
43,2016,10,21,63.0,73.0,0.0,999.9
44,2016,2,23,36.0,53.1,0.0,999.9
45,2016,9,16,63.0,75.0,0.0,999.9
46,2016,9,12,64.0,84.0,0.0,999.9
47,2016,12,5,39.9,51.1,0.16,999.9
48,2016,8,1,71.1,82.9,0.57,999.9
49,2016,10,14,50.0,70.0,0.0,999.9
50,2016,9,21,71.1,84.9,0.0,999.9
51,2016,3,6,30.0,46.9,0.0,999.9
52,2016,5,3,45.0,62.1,0.73,999.9
53,2016,3,10,64.0,78.1,0.0,999.9
54,2016,1,6,12.9,43.0,0.0,999.9
55,2016,5,23,54.0,77.0,0.11,999.9
56,2016,5,21,57.0,78.1,0.0,999.9
57,2016,9,1,73.0,90.0,0.03,999.9
58,2016,9,5,66.0,84.0,0.0,999.9
59,2016,8,17,78.1,91.0,0.13,999.9
60,2016,7,15,75.0,91.9,0.5,999.9
61,2016,10,20,63.0,86.0,0.0,999.9
